latitude,longitude,name,state,zip
41.598,-70.9511,Odies Place,MA,2748
41.6944,-71.5606,Second Chance Cats of Kent County ,RI,2816
42.5996,-72.7048,Better Than Dead Rescue,MA,1370
41.863,-71.984,East Coast Canine Rescue Inc.,CT,6259
41.6512,-71.4687,East Greenwich Animal Protection League,RI,2818
41.6512,-71.4687,Midnight Run Rescue,RI,2818
44.4247,-71.7542,Riverside Rescue,VT,5906
44.1192,-69.2366,Catahoula Rescue of New England,ME,4864
41.5882,-71.4593,North Kingstown Animal Shelter,RI,2852
41.5882,-71.4593,Pet Refuge,RI,2852
41.7442,-71.9097,Pride Rock Rescue,CT,6387
41.5456,-71.2919,Potter League for Animals,RI,2842
44.0768,-69.144,Pope Memorial Humane Society of Knox County,ME,4861
42.1739,-72.5769,Mutt Rescue,MA,1020
43.9438,-72.6064,Potters Angels Rescue,VT,5061
41.5675,-71.5813,Friends of Exeter Animals,RI,2822
41.7073,-71.9535,Whiskers Animal Shelter,CT,6374
41.8841,-72.2663,TarTan Gordon Setter Rescue,CT,6279
41.8841,-72.2663,Willington Animal Control,CT,6279
41.4538,-70.5646,Angels Helping Animals Worldwide,MA,2557
41.449,-70.6142,"Second Chance Animal Rescue, Inc",MA,2568
42.1305,-72.5752,Thomas J. O'Connor Animal Control and Adoption Center,MA,1104
42.1486,-72.6083,Halfway Home Cat Rescue Inc.,MA,1021
41.7003,-71.9929,Eskies Online Multi-Breed Dog Rescue,CT,6331
44.4286,-72.0137,"Kingdom Animal Shelter, Inc",VT,5819
43.7745,-72.82,Rutland County Humane Society,VT,5763
41.8021,-72.2549,Mansfield Animal Control,CT,6268
41.7718,-72.2083,CATS Northeast Inc.,CT,6250
41.7718,-72.2083,"American Lab Rescue, Inc",CT,6250
44.1225,-72.5418,Random Rescue,VT,5679
41.8692,-72.3748,Paws for Life Animal Rescue,CT,6084
41.5193,-71.6795,Richmond Animal Control,RI,2898
41.9144,-72.4532,Wiggle Pups Rescue,CT,6029
41.9144,-72.4532,Ellington Animal Control,CT,6029
43.6071,-72.9733,Green Mtn Pug Rescue,VT,5701
43.6071,-72.9733,Maple Leaf Mutts,VT,5701
41.9889,-72.5679,Mary's Kitty Korner,CT,6082
41.6046,-71.9845,"Compassion For Cats, New London County",CT,6351
41.6046,-71.9845,Wings of Freedom Animal Rescue,CT,6351
41.4372,-71.5019,Save One Soul Animal Rescue League,RI,2880
41.7137,-72.2114,Town of Windham Animal Control,CT,6226
41.7823,-72.3276,Kitty Angels of Connecticut Inc,CT,6238
41.7823,-72.3276,Whitey's Only Wish Rescue Inc,CT,6238
41.4292,-71.5235,South Kingstown Animal Shelter,RI,2879
42.1279,-72.7503,Westfield Homeless Cat Project,MA,1085
42.1279,-72.7503,Westfield Animal Shelter,MA,1085
44.2719,-72.4883,Central Vermont Humane Society,VT,5651
41.8465,-72.4636,Sarah's Second Chance Dog Rescue,CT,6066
41.8465,-72.4636,"Little Feet, Big Heart Rescue",CT,6066
41.8465,-72.4636,The Cats Meow Animal Rescue League,CT,6066
44.3617,-69.1956,Miracle German Shepherd Dog Rescue of Maine,ME,4973
42.2329,-72.8816,In Honey's Memory Cat Shelter,MA,1050
41.918,-72.6051,Brooke's Angels Rescue,CT,6088
43.0115,-73.192,Second Chance Animal Center,VT,5262
44.6143,-69.6385,Save Our Strays,ME,4937
42.0512,-72.7488,Southwick Animal Control Facility,MA,1077
44.2585,-72.5708,Good Karma Rescue Inc.,VT,5602
41.9306,-72.6435,Hole In One Animal Rescue,CT,6096
41.768,-72.4401,Sadie Mae Foundation,CT,6043
41.6373,-72.2376,Majestic Waterfowl Sanctuary,CT,6249
41.6373,-72.2376,CT Herding Dog Rescue,CT,6249
41.8346,-72.5583,South Windsor Police,CT,6074
41.5115,-72.0178,Preston Animal Control,CT,6365
41.3824,-71.6606,Charlestown Animal Shelter,RI,2813
41.3824,-71.6606,FairyDogMother Rescue,RI,2813
41.7985487,-72.5323139,Monkey's Pack,CT,6042
41.7778,-72.5211,The Queenie Foundation Inc.,CT,6040
41.77780151,-72.52110291,Pack Leaders Dog Rescue of CT,CT,6040
41.7758,-72.5219,Our Companions Animal Rescue,CT,6045
42.0583,-72.8564,Rainbow Rescues Inc,MA,1034
41.8567,-72.6648,Town of Windsor Animal Control,CT,6095
41.8567,-72.6648,Connecticut Cat Connection,CT,6095
42.0087,-72.8394,The Nutmeg Weimaraner Club,CT,6060
41.4509,-72.0065,Ledyard Animal Control,CT,6339
41.2795,-70.1057,Nantucket Safe Harbor for Animals (NiSHA),MA,2554
41.9595,-72.7982,Bandits Place,CT,6035
41.9595,-72.7982,Forever Feisty Chinchilla Rescue Inc.,CT,6035
41.3651,-71.8024,Westerly Animal Control,RI,2891
41.3728,-71.8585,Stonington Animal Care & Control,CT,6379
41.3728,-71.8585,Stonington Animal Rescue Project,CT,6379
41.78,-72.6209,East Hartford Animal Control,CT,6108
44.1904,-72.8275,Golden Huggs Rescue Inc,VT,5673
41.4636,-72.1045,"Focus on Ferals, Inc.",CT,6382
44.7689,-69.7146,Somerset Humane Society,ME,4976
41.746,-72.6079,Protectors of Animals,CT,6118
41.8299,-72.7254,"The Simon Foundation, Inc.",CT,6002
